"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","Smz","Sdz"
"1",100,100,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.4,0.6,0.046,0.047,0.03,0.03,0.053,0.05,0.03,0.03,0.0803946638440413,0.0614209978830308
"2",10000,10000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.4,0.6,0.046,0.047,0.03,0.03,0.053,0.05,0.03,0.03,0.0803946638440413,0.0614209978830308
"3",20000,20000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.4,0.6,0.046,0.047,0.03,0.03,0.053,0.05,0.03,0.03,0.0803946638440413,0.0614209978830308
"4",30000,30000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.4,0.6,0.046,0.047,0.03,0.03,0.053,0.05,0.03,0.03,0.0803946638440413,0.0614209978830308
"5",40000,40000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.4,0.6,0.045,0.047,0.03,0.03,0.053,0.05,0.03,0.03,0.0803946638440413,0.0614209978830308
"6",50000,50000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.4,0.6,0.048,0.05,0.03,0.03,0.053,0.05,0.03,0.03,0.0803946638440413,0.0614209978830308
"7",50,50,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.4,0.6,0.046,0.047,0.03,0.03,0.053,0.05,0.03,0.03,0.0803946638440413,0.0614209978830308
"8",5000,5000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.4,0.6,0.046,0.047,0.03,0.03,0.053,0.05,0.03,0.03,0.0803946638440413,0.0614209978830308
"9",15000,15000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.4,0.6,0.046,0.047,0.03,0.03,0.053,0.05,0.03,0.03,0.0803946638440413,0.0614209978830308
"10",25000,25000,0.632455532033676,0.547722557505166,0.547722557505166,0.03,0.03,0,0.4,0.6,0.046,0.047,0.03,0.03,0.053,0.05,0.03,0.03,0.0803946638440413,0.0614209978830308
